Date,Observed_AAPL,Train_Prediction_AAPL,Test_Prediction_AAPL,Observed_TSLA,Train_Prediction_TSLA,Test_Prediction_TSLA,Observed_MSFT,Train_Prediction_MSFT,Test_Prediction_MSFT,Observed_NVDA,Train_Prediction_NVDA,Test_Prediction_NVDA,Observed_GOOGL,Train_Prediction_GOOGL,Test_Prediction_GOOGL,Observed_AMZN,Train_Prediction_AMZN,Test_Prediction_AMZN,Observed_META,Train_Prediction_META,Test_Prediction_META
2016-01-04,26.337499618530273,,,14.894000053405762,,,54.79999923706055,,,8.092499732971191,,,37.97200012207031,,,31.84950065612793,,,102.22000122070312,,
2016-01-05,25.677499771118164,26.050064086914062,,14.895333290100098,15.195402145385742,,55.04999923706055,52.31673812866211,,8.22249984741211,7.52023983001709,,38.076499938964844,38.877567291259766,,31.68950080871582,33.13800048828125,,102.7300033569336,106.49744415283203,
2016-01-06,25.174999237060547,25.399429321289062,,14.602666854858398,15.196737289428711,,54.04999923706055,52.56986618041992,,7.882500171661377,7.651969909667969,,37.96649932861328,38.97835922241211,,31.63249969482422,32.97764205932617,,102.97000122070312,106.9892349243164,
2016-01-07,24.112499237060547,24.904102325439453,,14.376667022705078,14.90362548828125,,52.16999816894531,51.55736541748047,,7.570000171661377,7.307452201843262,,37.04999923706055,38.87226486206055,,30.39699935913086,32.920509338378906,,97.91999816894531,107.2206802368164,
2016-01-08,24.239999771118164,23.856901168823242,,14.066666603088379,14.67729663848877,,52.33000183105469,49.65411376953125,,7.40749979019165,6.990816116333008,,36.545501708984375,37.98857116699219,,30.352500915527344,31.68235969543457,,97.33000183105469,102.35279083251953,
2016-01-11,24.63249969482422,23.982555389404297,,13.856666564941406,14.366862297058105,,52.29999923706055,49.81608581542969,,7.420000076293945,6.826171398162842,,36.653499603271484,37.502357482910156,,30.886999130249023,31.637771606445312,,97.51000213623047,101.78437042236328,
2016-01-12,24.989999771118164,24.36939239501953,,13.998000144958496,14.156582832336426,,52.779998779296875,49.78571701049805,,7.545000076293945,6.838836669921875,,37.266998291015625,37.60642623901367,,30.894500732421875,32.17338180541992,,99.37000274658203,101.95777893066406,
2016-01-13,24.34749984741211,24.72175407409668,,13.354000091552734,14.298104286193848,,51.63999938964844,50.27162551879883,,7.315000057220459,6.9654860496521,,35.97850036621094,38.19775390625,,29.090499877929688,32.18090057373047,,95.44000244140625,103.75004577636719,
2016-01-14,24.8799991607666,24.088502883911133,,13.745332717895508,13.653287887573242,,53.11000061035156,49.11762619018555,,7.167500019073486,6.732453346252441,,36.56949996948242,36.956092834472656,,29.649999618530273,30.373323440551758,,98.37000274658203,99.96387481689453,
2016-01-15,24.282499313354492,24.613332748413086,,13.666000366210938,14.045104026794434,,50.9900016784668,50.6057014465332,,6.777500152587891,6.583012104034424,,35.52450180053711,37.525482177734375,,28.509000778198242,30.933876037597656,,94.97000122070312,102.78638458251953,
2016-01-19,24.165000915527344,24.02444076538086,,13.64799976348877,13.96567153930664,,50.560001373291016,48.45970153808594,,6.832499980926514,6.187898635864258,,35.95399856567383,36.51884078979492,,28.724000930786133,29.79078483581543,,95.26000213623047,99.5112533569336,
2016-01-20,24.197500228881836,23.90864372253418,,13.24666690826416,13.947648048400879,,50.790000915527344,48.024478912353516,,6.869999885559082,6.243617057800293,,35.928001403808594,36.93248748779297,,28.588499069213867,30.006160736083984,,94.3499984741211,99.79052734375,
2016-01-21,24.075000762939453,23.940671920776367,,13.33133316040039,13.545827865600586,,50.47999954223633,48.257266998291016,,6.949999809265137,6.281609058380127,,36.333499908447266,36.907447814941406,,28.750999450683594,29.870420455932617,,94.16000366210938,98.91424560546875,
2016-01-22,25.354999542236328,23.8199462890625,,13.50333309173584,13.630593299865723,,52.290000915527344,47.943504333496094,,7.112500190734863,6.362657070159912,,37.27299880981445,37.29808044433594,,29.819000244140625,30.033206939697266,,97.94000244140625,98.73130798339844,
2016-01-25,24.860000610351562,25.081527709960938,,13.092000007629395,13.802801132202148,,51.790000915527344,49.77559280395508,,7.105000019073486,6.527290344238281,,36.680999755859375,38.20354080200195,,29.826499938964844,31.10320472717285,,97.01000213623047,102.37206268310547,
2016-01-26,24.997499465942383,24.5936222076416,,12.904000282287598,13.390983581542969,,52.16999816894531,49.26946258544922,,7.175000190734863,6.519691467285156,,36.68949890136719,37.63292694091797,,30.0625,31.1107177734375,,97.33999633789062,101.47608947753906,
2016-01-27,23.354999542236328,24.72914695739746,,12.538000106811523,13.202775001525879,,51.220001220703125,49.65411376953125,,7.090000152587891,6.590611457824707,,35.87900161743164,37.641117095947266,,29.167499542236328,31.347185134887695,,94.44999694824219,101.79399871826172,
2016-01-28,23.522499084472656,23.110416412353516,,12.646666526794434,12.836395263671875,,52.060001373291016,48.692501068115234,,7.012499809265137,6.5044941902160645,,37.415000915527344,36.86024856567383,,31.767499923706055,30.450464248657227,,109.11000061035156,99.01052856445312,
2016-01-29,24.334999084472656,23.27547264099121,,12.74666690826416,12.945169448852539,,55.09000015258789,49.54277038574219,,7.322500228881836,6.425976753234863,,38.067501068115234,38.34044647216797,,29.350000381469727,33.055816650390625,,112.20999908447266,113.14522552490234,
2016-02-01,24.107500076293945,24.076183319091797,,13.129332542419434,13.045275688171387,,54.709999084472656,52.61037063598633,,7.324999809265137,6.740052223205566,,38.53850173950195,38.96967697143555,,28.74049949645996,30.6333065032959,,115.08999633789062,116.13890838623047,
